"STA_LIBELLE";"STA_LIBELLE";"PRO_LIBELLE_PRODUIT";"PRO_REFERENCE";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Beaune premier cru En Genêt blanc";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Beaune premier cru En Genêt rouge";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Beaune premier cru En l'Orme blanc";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Beaune premier cru En l'Orme rouge";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Beaune premier cru La Mignotte blanc";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Beaune premier cru La Mignotte rouge";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Beaune premier cru Le Bas des Teurons blanc";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Beaune premier cru Le Bas des Teurons rouge";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Beaune premier cru Le Clos des Mouches blanc";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Beaune premier cru Le Clos des Mouches rouge";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Beaune premier cru Les Aigrots blanc";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Beaune premier cru Les Aigrots rouge";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Beaune premier cru Les Avaux blanc";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Beaune premier cru Les Avaux rouge";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Beaune premier cru Les Boucherottes blanc";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Beaune premier cru Les Boucherottes rouge";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Beaune premier cru Les Bressandes blanc";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Beaune premier cru Les Bressandes rouge";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Beaune premier cru Les Cents Vignes blanc";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Beaune premier cru Les Cents Vignes rouge";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Beaune premier cru Les Chouacheux blanc";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Beaune premier cru Les Chouacheux rouge";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Beaune premier cru Les Epenotes blanc";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Beaune premier cru Les Epenotes rouge";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Beaune premier cru Les Fèves blanc";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Beaune premier cru Les Fèves rouge";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Beaune premier cru Les Grèves blanc";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Beaune premier cru Les Grèves rouge";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Beaune premier cru Les Marconnets blanc";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Beaune premier cru Les Marconnets rouge";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Beaune premier cru Les Montrevenots blanc";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Beaune premier cru Les Montrevenots rouge";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Beaune premier cru Les Perrières blanc";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Beaune premier cru Les Perrières rouge";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Beaune premier cru Les Reversés blanc";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Beaune premier cru Les Reversés rouge";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Beaune premier cru Les Sceaux blanc";"";
